"Y","ID","Operator","Date","Priority","Price","Speed","Duration","Temp","Location","Agreed","State","Class","Surface","sensor1","sensor2","sensor3","sensor4","sensor5","sensor6","sensor7","sensor8","sensor9","sensor10","sensor11","sensor12","sensor13","sensor14","sensor15","sensor16","sensor17","sensor18","sensor19","sensor20","sensor21","sensor22","sensor23","sensor24","sensor25","sensor26","sensor27","sensor28","sensor29","sensor30"
16.0264188948907,"G9939","HH",2019-01-11,"Medium","Expensive","Fast","Short","Warm","Control room","No","Uncertain","Metal","Rough",27.5001332019567,27.3097042031877,24.7840996322019,22.259086530073,29.2205948771628,25.6540626277154,32.8391245261676,26.9047304489897,26.9691239226843,35.3911867999166,61.4037854332589,58.7677315967514,57.3796122683014,69.2923530970127,59.7086473641903,62.3509613028452,58.0769546135644,54.2971631976056,61.8563790420429,71.8611001501525,-44.8659512645659,-40.913583539246,-34.8752449662461,-14.0104558653396,-33.6231195565546,-40.4399036805706,-35.7215423163779,-38.4419078910373,-58.1371917607298,-30.2517039499235
10.1443683903096,"G9940","HH",2019-01-19,"Low","Cheap","Slow","Short","Hot","Storage tanks","No","Uncertain","Ceramic","Textured",24.9303345340924,14.0031601571835,17.9307261521968,21.5040156303711,22.1848527955062,21.2893599346869,16.2881601451722,15.4825535172912,21.8387352770997,23.0107555136982,56.2370961060158,64.144926481726,76.9259397414469,69.9304509055487,54.7024959457931,55.4814308698171,53.3190726555036,47.4484350827514,75.990613467928,46.8696024824486,32.7451784463933,4.20318567387648,16.6709797922529,13.8031161193351,-3.93373900410852,15.1450046646242,23.3624266893748,3.79384956832653,-11.5505675248147,6.95402394970128
25.423599283318,"G9941","HH",2019-01-25,"Low","Cheap","Medium","Long","Warm","Steam plant","No","Under review","Plastic","Textured",4.99420225770279,6.28879419314709,0.448100791763886,-0.111899690744857,4.97599844840384,2.11649208114796,-0.772131711899233,-2.13831007528339,-6.32210919566981,3.64555387895308,88.2880579546453,80.7769574421912,89.5043357737868,95.0990227166064,91.3221931017153,78.2915625399741,86.833353626913,70.1808710588726,74.8753012110277,98.3845298156688,-35.5445427291639,-57.0113083637122,-30.8196282047594,-24.5811288117508,-42.9311552798429,-34.4626906847991,-64.3495869863336,-13.8571404595837,-41.0358346070405,-73.2084466205917
13.9956556441372,"G9942","GK",2019-02-02,"Low","Cheap","Slow","Very Long","Warm","Steam plant","Yes",NA,"Wooden","Smooth",14.7798342686078,NA,12.1036763368284,8.72520891917775,16.7561554040313,10.2575103687379,16.928938593433,10.8364617815067,6.50333784374462,14.3505725612061,NA,98.0244040575774,NA,78.8975374823272,NA,82.908347489406,77.3983464486042,91.9205856573822,105.568790528516,96.7275175813446,76.8490741601451,67.1108044534626,64.005167102456,78.8797581488982,91.1115842127523,86.8769932369863,94.0497176937016,62.9947035938193,72.5031231456371,NA
21.5225865989865,"G9943","HH",2019-02-09,"High","Fair","Fast","Short","Cold","Storage tanks","Yes","Uncertain","Ceramic","Smooth",34.3396967559772,38.0383543593503,33.6107825880128,27.8632553644602,40.0918607000504,38.3052900068098,40.855104037579,32.7836618217923,37.7612364088107,45.4804983230211,40.3549196487828,32.7899798066731,47.4333272836474,46.7390502771191,35.110145909794,49.610257392837,42.8207135626139,31.8410111433763,36.6919957292442,42.456918773936,-7.77632908251263,15.5680608878145,-7.28754783480042,14.0904411217272,25.0347653398824,-8.04036324993226,5.62067503487164,-15.6377381843098,9.34064038841534,-1.52652705107563
14.7574022362678,"G9944","HH",2019-02-15,"Low","Cheap","Medium","Short","Warm","Storage tanks","Yes","Checked","Wooden",NA,-3.70971521416946,-0.65304998646049,-6.12789000836373,-7.88125556195111,2.66492526073695,-3.65065028708299,0.168729076423324,NA,NA,0.205115817656308,69.9884851306342,76.520469098047,65.1249268238926,74.3231183788297,92.4789746503078,77.2688552780559,89.7042507789397,83.818041437016,NA,87.5523229239633,0.776376284511469,-20.7916320637697,5.84814536588549,9.03641367220983,-15.0634535394246,NA,-11.0997473714529,-6.61689225054137,-5.81000083264076,8.47675070100296
22.4371172067104,"G9945","HH",2019-02-22,"High","Expensive","Fast","Long","Hot","Steam plant","No","Checked","Ceramic","Rough",3.98697513891044,12.8604835487665,5.20551872050576,9.44264463190792,6.77822479932054,13.882158539891,8.47891417067114,9.56315046797015,-0.694621923997683,8.67761319424736,72.7314645807916,71.0459588259593,80.6345581934864,59.2378608002771,72.2446283595917,71.6631574332405,89.3188728823461,86.5595193192235,86.4262408558099,78.0859500005906,71.6437789312032,71.997210474438,73.8336467308341,51.9185662205103,71.3701161378435,61.1387059373776,72.6273246031996,59.8176120972447,72.7957501822884,69.970638004871
10.2439868891176,"G9946","GK",2019-03-01,"Medium","Expensive","Fast","Short","Warm","Control room","Yes","Checked",NA,"Textured",6.04620080832993,11.0765848036282,4.73297587441377,NA,13.0606287414486,20.9557238196974,11.4638901423265,NA,NA,16.366796203017,81.0365350400098,NA,96.3455270089407,83.701973309263,84.2305785124231,81.9069883367906,96.7667736174008,82.3239055474136,90.2775946853978,99.7439242125773,-25.0418702047641,-15.1979393876624,-25.7588394842508,1.50699751266625,-15.3581379864831,-19.3865809817083,-31.3195929933172,-17.5732694468077,-1.52237050262875,-13.4881241754272
19.8837020977007,"G9947","GK",2019-03-08,"Low","Cheap","Medium","Long","Warm","Storage tanks","Yes","Checked","Ceramic","Rough",2.75598252887679,-0.33406086112906,2.95198663498746,4.93862761643891,-3.77585584978051,4.20266673696342,3.46395481463097,4.67174106081695,-7.39947707777077,-4.94285735539714,53.0744500154146,76.4513874608053,60.3139932993364,71.150882919304,66.0346165927458,63.2875231133248,82.6742854747179,74.2762944294422,74.2915734107281,44.0903036088698,-40.1298858932778,-17.2797743184849,-20.3319823713775,-34.9343079118675,-21.3260488742055,-21.0238723024409,-33.0650803319685,-30.2812523718633,-46.6406564788075,-25.2445278014679
24.8764559567463,"G9948","HH",2019-03-15,"Low","Cheap","Medium","Short","Hot","Steam plant","Yes","Under review","Plastic","Smooth",26.179873185608,NA,21.1788798250074,25.4120732220015,18.5458312733312,15.4823223740275,19.5643182814534,15.6126014868333,21.0140770524592,16.6554221825401,39.0063752841786,35.6628292122958,54.1418864963326,41.9144678111139,46.2567851568577,47.0519105203037,29.8784465228056,44.0988883358802,33.5713483868814,22.4710742401554,88.2954861989477,72.6701192508296,89.5067604435902,75.8783428898955,91.5517057630545,70.0262017465832,90.9251382557267,51.9794429686028,96.3897873080139,54.2434089926889
